mdl_score,spr_raw,spr_score,hrpu_raw,hpru_score,sdc_raw,sdc_score,ltk_raw,ltk_score,x2mr_raw,x2mr_score,acft_score,apft_pushups,apft_situps,apft_runtime_sec,apft_score,ioct_score,ioct_sec,ioct_tab,age,hgt_in,wt_lb,bmi,sex
82,9.7,81,22,66,90,100,11,82,791,100,511,86,90,709,352,914,154,Tabbed,21,71,168,23.4369671,Male
90,12.1,97,28,69,88,100,2,62,965,82,500,72,81,863,279,762,177,No Tab,22,72,239,31.06934002,Male
100,10.3,85,34,74,100,98,11,82,869,93,532,88,79,787,297,800,169,No Tab,22,69,172,25.90245822,Male
78,10,83,23,66,109,91,11,82,1009,77,477,77,80,847,270,690,200,No Tab,21,67,205,31.38992487,Male
100,12.6,100,42,82,89,100,18,96,898,90,568,78,86,819,292,806,168,No Tab,25,68,200,31.23297524,Male
70,9.4,79,27,68,115,85,10,80,1035,74,456,67,75,755,276,690,200,No Tab,22,72,201,27.045684,Male
90,9.8,82,52,92,100,98,14,88,808,100,550,84,80,745,313,806,168,No Tab,22,73,192,25.41478848,Male
90,10.2,85,28,69,99,98,9,78,989,80,500,65,72,799,261,734,182,No Tab,22,72,186,25.57668638,Male
63,5.3,62,18,64,141,68,3,65,1088,69,391,65,106,885,344,944,200,Tabbed,22,64,128,21.32905544,Female
63,5.4,62,30,70,157,64,8,76,1052,73,408,72,84,922,303,844,236,No Tab,22,65,133,22.53311502,Female
78,9.7,81,40,80,107,93,15,90,806,100,522,79,78,767,292,896,157,Tabbed,21,66,151,24.42299734,Male
74,9.9,82,21,65,105,95,10,80,978,81,477,66,83,848,271,710,191,No Tab,21,73,216,29.0843034,Male
78,8.8,75,42,82,87,100,20,100,727,100,535,100,100,698,364,908,155,Tabbed,22,71,170,23.48023668,Male
82,9.5,80,43,83,104,96,13,86,798,100,527,89,102,689,361,920,153,Tabbed,21,67,176,28.30479824,Male
62,6.4,65,0,0,125,75,0,0,1136,65,267,35,79,885,269,686,319,No Tab,21,71,176,23.78389297,Female
