SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Single Family Residential,1740 Stone Hollow Ct,Hermitage,TN,37076,259900,3,2.5,Hermitage,1392,6534,2001,1,187,20,Active,June-23-2019 02:00 PM,June-23-2019 04:00 PM,http://www.redfin.com/TN/Hermitage/1740-Stone-Hollow-Ct-37076/home/68848267,REALTRACS,2052271,N,Y,36.2186236,-86.5927248
MLS Listing,,Single Family Residential,5040 English Village Dr,Nashville,TN,37211,295000,3,2.5,Nashville,1632,6534,1985,6,181,2,Active,,,http://www.redfin.com/TN/Nashville/5040-English-Village-Dr-37211/home/68858832,REALTRACS,2050805,N,Y,36.04505,-86.7328163
MLS Listing,,Single Family Residential,1217 Wexford Downs Ln,Nashville,TN,37211,408000,4,3,Nashville,3096,10018,2001,8,132,43,Active,,,http://www.redfin.com/TN/Nashville/1217-Wexford-Downs-Ln-37211/home/108014096,REALTRACS,2050076,N,Y,36.0199536,-86.7403605
MLS Listing,,Single Family Residential,214 Scotland Pl,Nashville,TN,37205,1475000,4,3.5,Nashville,3600,19166,1940,12,410,,Active,,,http://www.redfin.com/TN/Nashville/214-Scotland-Pl-37205/home/60763207,REALTRACS,2049084,N,Y,36.1052857,-86.8607553
MLS Listing,,Single Family Residential,101 Holt Br,Nashville,TN,37211,465000,4,2.5,Nashville,3428,10018,1997,14,136,35,Active,,,http://www.redfin.com/TN/Nashville/101-Holt-Branch-Ct-37211/home/87807827,REALTRACS,2047847,N,Y,36.0113263,-86.7228735
MLS Listing,,Single Family Residential,110 Cedar Place Bnd,Nashville,TN,37221,335000,3,2.5,Nashville,2133,6534,2015,18,157,,Active,,,http://www.redfin.com/TN/Nashville/110-Cedar-Pl-Bnd-37221/unit-22/home/60721793,REALTRACS,2046782,N,Y,36.1032974,-86.9315068
MLS Listing,,Condo/Co-op,4487 Post Pl Apt 163,Nashville,TN,37205,289000,2,2,Nashville,1514,,1975,19,191,320,Active,,,http://www.redfin.com/TN/Nashville/4487-Post-Pl-37205/unit-163/home/79427333,REALTRACS,2046094,N,Y,36.1311306,-86.8513167
MLS Listing,,Single Family Residential,293 Cathy Jo Dr,Nashville,TN,37211,339500,4,2,Nashville,2184,11761,1965,21,155,,Active,,,http://www.redfin.com/TN/Nashville/293-Cathy-Jo-Dr-37211/home/60745804,REALTRACS,2045332,N,Y,36.0903342,-86.7222447
MLS Listing,,Condo/Co-op,900 19Th Ave Apt 1006,Nashville,TN,37212,309000,2,2,Nashville,1100,,1986,27,281,561,Active,,,http://www.redfin.com/TN/Nashville/900-19th-Ave-S-37212/unit-1006/home/108028777,REALTRACS,2043588,N,Y,36.1480778,-86.7957532
MLS Listing,,Townhouse,217 Fairmont Ct,Nashville,TN,37203,339900,3,2.5,Nashville,1691,,1985,33,201,137,Active,,,http://www.redfin.com/TN/Nashville/217-Fairmont-Ct-37203/unit-217/home/147951840,REALTRACS,2041933,N,Y,36.141331,-86.82098
MLS Listing,,Single Family Residential,2229 Seven Points Cir,Hermitage,TN,37076,443500,4,3,Hermitage,3079,14810,2006,35,144,17,Active,,,http://www.redfin.com/TN/Hermitage/2229-Seven-Points-Cir-37076/home/108017300,REALTRACS,2040957,N,Y,36.1483439,-86.5738862
MLS Listing,,Single Family Residential,1317 Fishers Meadows Cv,Hermitage,TN,37076,384900,3,2.5,Hermitage,2627,14374,2001,46,147,18,Active,,,http://www.redfin.com/TN/Hermitage/1317-Fishers-Meadows-Cv-37076/home/108136071,REALTRACS,2037358,N,Y,36.1484448,-86.5769587
MLS Listing,,Single Family Residential,1235A Battlefield Dr,Nashville,TN,37215,969000,4,3.5,Nashville,4000,9583,2008,61,242,,Active,,,http://www.redfin.com/TN/Nashville/1235A-Battlefield-Dr-37215/home/162710225,REALTRACS,2032174,N,Y,36.114996,-86.79658
MLS Listing,,Single Family Residential,623 Ronnie Rd,Madison,TN,37115,389900,4,3,Madison,2492,63597,1960,61,156,,Active,,,http://www.redfin.com/TN/Madison/623-Ronnie-Rd-37115/home/108078020,REALTRACS,2032078,N,Y,36.271509,-86.7260936
MLS Listing,,Single Family Residential,1604 Norvel Ave,Nashville,TN,37216,364900,4,2,Nashville,1730,9583,1948,64,211,,Active,,,http://www.redfin.com/TN/Nashville/1604-Norvel-Ave-37216/home/68861323,REALTRACS,2030816,N,Y,36.2115068,-86.7187858
MLS Listing,,Condo/Co-op,1205 Paris Ave Apt 201,Nashville,TN,37212,468500,2,2,Nashville,1147,,2009,69,408,206,Active,,,http://www.redfin.com/TN/Nashville/1205-Paris-Ave-37212/unit-201/home/68710167,REALTRACS,2029299,N,Y,36.1216105,-86.7908738
MLS Listing,,Single Family Residential,500 Radnor St,Nashville,TN,37211,399000,4,3,Nashville,1821,8712,1935,131,219,,Active,,,http://www.redfin.com/TN/Nashville/500-Radnor-St-37211/home/68834784,REALTRACS,2010114,N,Y,36.1054426,-86.7448249
Redfin Data,,Single Family Residential,2913 Katonka Ct,Antioch,TN,37013,339000,5,3.5,Antioch,3608,13939,2006,2,94,30,Pre On-Market,,,http://www.redfin.com/TN/Antioch/2913-Katonka-Ct-37013/home/107981287,Coming Soon,37056,N,Y,36.0201894,-86.6576553
Redfin Data,,Single Family Residential,411 Northwind Ct,Goodlettsville,TN,37072,379900,4,2.5,Goodlettsville,3522,59677,1981,12,108,,Pre On-Market,,,http://www.redfin.com/TN/Goodlettsville/411-Northwind-Ct-37072/home/86132156,Coming Soon,36081,N,Y,36.288888,-86.7358027
MLS Listing,,Single Family Residential,113 Jay St,Nashville,TN,37210,200000,2,1,Nashville,784,7840,1920,1,255,,Active,,,http://www.redfin.com/TN/Nashville/113-Jay-St-37210/home/87816288,REALTRACS,2052629,N,Y,36.1189111,-86.7422071
MLS Listing,,Single Family Residential,317 Schoolhouse Ct,Antioch,TN,37013,210000,3,2.5,Antioch,1854,5227,2007,1,113,,Active,,,http://www.redfin.com/TN/Antioch/317-School-House-Ct-37013/home/108137994,REALTRACS,2052628,N,Y,36.0630234,-86.6034026
MLS Listing,,Townhouse,1839 Isabelle Ln,Antioch,TN,37013,187500,2,2.5,Antioch,1378,,2008,1,136,79,Active,,,http://www.redfin.com/TN/Antioch/1839-Isabelle-Ln-37013/unit-116/home/108108329,REALTRACS,2052618,N,Y,36.0420622,-86.6297361
MLS Listing,,Townhouse,2418 Anson Ln,Nashville,TN,37211,254900,2,3,Nashville,1785,,2008,1,143,118,Active,,,http://www.redfin.com/TN/Nashville/2418-Anson-Ln-37211/home/88870282,REALTRACS,2052611,N,Y,36.0195147,-86.7023369
MLS Listing,,Condo/Co-op,2025 Woodmont Blvd Apt 229,Nashville,TN,37215,235000,2,1,Nashville,941,,1995,1,250,450,Active,,,http://www.redfin.com/TN/Nashville/2025-Woodmont-Blvd-37215/unit-229/home/79024636,REALTRACS,2052556,N,Y,36.1126315,-86.809826
MLS Listing,,Single Family Residential,606 Bixler Ave,Madison,TN,37115,179900,2,1,Madison,865,9583,1961,1,208,,Active,,,http://www.redfin.com/TN/Madison/606-Bixler-Ave-37115/home/108117913,REALTRACS,2052608,N,Y,36.267898,-86.7045009
MLS Listing,,Single Family Residential,535 Edwin St,Nashville,TN,37207,235000,2,1,Nashville,900,9147,1948,1,261,,Active,,,http://www.redfin.com/TN/Nashville/535-Edwin-St-37207/home/88619223,REALTRACS,2052599,N,Y,36.2039556,-86.7541885
MLS Listing,,Single Family Residential,521 Radnor St,Nashville,TN,37211,275000,2,1,Nashville,952,8712,1945,1,289,,Active,June-23-2019 02:00 PM,June-23-2019 04:00 PM,http://www.redfin.com/TN/Nashville/521-Radnor-St-37211/home/60723106,REALTRACS,2052598,N,Y,36.1051639,-86.7466464
MLS Listing,,Single Family Residential,2688 Miami Ave,Nashville,TN,37214,499900,4,3.5,Nashville,2357,5662,2019,1,212,,Active,,,http://www.redfin.com/TN/Nashville/2688-Miami-Ave-37214/home/108066238,REALTRACS,2052597,N,Y,36.2433278,-86.7048054
