SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
"In accordance with local MLS rules, some MLS listings are not included in the download"
MLS Listing,,Single Family Residential,408A 33rd Ave N,Nashville,TN,37209,775000,3,3.5,Urban,2836,,2015,4,273,,Active,,,https://www.redfin.com/TN/Nashville/408A-33rd-Ave-N-37209/home/147965809,REALTRACS as Distributed by MLS Grid,2606151,N,Y,36.1535345,-86.8238882
MLS Listing,,Single Family Residential,449 Cedarvalley Dr,Nashville,TN,37211,399900,3,2.0,Cedarwood Estates,1530,13939,1975,23,261,,Active,,,https://www.redfin.com/TN/Nashville/449-Cedarvalley-Dr-37211/home/87807732,REALTRACS as Distributed by MLS Grid,2601904,N,Y,36.0425311,-86.7073531
MLS Listing,,Single Family Residential,3056 Casa Dr,Nashville,TN,37214,259000,2,1.0,Patio Villa,930,5227,1985,28,278,,Active,,,https://www.redfin.com/TN/Nashville/3056-Casa-Dr-37214/home/108056220,REALTRACS as Distributed by MLS Grid,2600263,N,Y,36.1447594,-86.6436971
MLS Listing,,Townhouse,8805 Dolcetto Grv,Brentwood,TN,37027,399900,3,2.5,Villas At Concord Place,1724,1306,2008,54,232,143,Active,,,https://www.redfin.com/TN/Brentwood/8805-Dolcetto-Grv-37027/home/104340734,REALTRACS as Distributed by MLS Grid,2593309,N,Y,36.0017529,-86.6884316
MLS Listing,,Single Family Residential,805 Coggin Pass,Madison,TN,37115,425000,4,2.0,Marlin Meadows,1735,19602,1954,73,245,,Active,,,https://www.redfin.com/TN/Madison/805-Coggin-Pass-37115/home/112486245,REALTRACS as Distributed by MLS Grid,2585365,N,Y,36.2407464,-86.6795418
MLS Listing,,Condo/Co-op,1616 W End Ave #2910,Nashville,TN,37203,829000,1,1.0,RESIDENCES/BROADWEST,908,,2021,109,913,755,Active,,,https://www.redfin.com/TN/Nashville/1616-W-End-Ave-37203/unit-2910/home/178259023,REALTRACS as Distributed by MLS Grid,2573187,N,Y,36.154212,-86.7936866
MLS Listing,,Single Family Residential,2800 Valley Brook Pl,Nashville,TN,37215,2450000,4,4.5,Valley Brook Place,5682,13939,2019,116,431,,Active,,,https://www.redfin.com/TN/Nashville/2800-Valley-Brook-Pl-37215/home/148398262,REALTRACS as Distributed by MLS Grid,2570706,N,Y,36.1127484,-86.8281134
MLS Listing,,Single Family Residential,1016A Glendale Ln,Nashville,TN,37204,1625000,4,4.0,Glendale Commons I Condomi,4386,3049,2013,149,370,,Active,,,https://www.redfin.com/TN/Nashville/1016A-Glendale-Ln-37204/home/188863991,REALTRACS as Distributed by MLS Grid,2558611,N,Y,36.0938563,-86.7927405
MLS Listing,,Condo/Co-op,1212 Demonbreun St Unit A7 (B),Nashville,TN,37203,520800,1,1.0,Pullman Gulch Union,800,,2023,1,651,496,Active,January-13-2024 11:00 AM,January-13-2024 02:00 PM,https://www.redfin.com/TN/Nashville/1212-Demonbreun-St-37203/unit-A7-B/home/189095442,REALTRACS as Distributed by MLS Grid,2607767,N,Y,36.154686,-86.786418
MLS Listing,,Single Family Residential,3017 Red Fox Rdg,Madison,TN,37115,347115,3,2.5,Fox Valley,1434,,2024,1,242,50,Pre On-Market,,,https://www.redfin.com/TN/Madison/3017-Red-Fox-RDG-37115/home/189095398,REALTRACS as Distributed by MLS Grid,2607759,N,Y,36.24554531,-86.6785707
MLS Listing,,Single Family Residential,907 28th Ave N,Nashville,TN,37208,559000,3,3.0,Adam Young,1846,2178,2018,1,303,,Active,,,https://www.redfin.com/TN/Nashville/907-28th-Ave-N-37208/home/68911015,REALTRACS as Distributed by MLS Grid,2607245,N,Y,36.1616787,-86.8194649
MLS Listing,,Single Family Residential,5138 Raywood Ln,Nashville,TN,37211,399989,3,2.0,Goodrich Heights,1600,12632,1965,1,250,,Pre On-Market,,,https://www.redfin.com/TN/Nashville/5138-Raywood-Ln-37211/home/108044107,REALTRACS as Distributed by MLS Grid,2607757,N,Y,36.056151,-86.7109102
